"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131"
"50","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1"
"51","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1"
"52","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2"
"53","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2"
"54","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2"
"55","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1"
"56","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2"
"57","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1"
"58","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2"
"59","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1"
"60","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2"
"61","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2"
"62","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2"
"63","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2"
"64","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2"
"65","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2"
"66","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2"
"67","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1"
"68","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1"
"69","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2"
"70","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1"
"71","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1"
"72","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1"
"73","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2"
"74","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1"
"75","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1"
"76","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2"
"77","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1"
"78","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1"
"79","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1"
"80","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1"
"81","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1"
"82","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1"
"83","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2"
"84","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1"
"85","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2"
"86","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1"
"87","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2"
"88","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1"
"89","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2"
"90","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2"
"91","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1"
"92","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1"
"93","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2"
"94","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2"
"95","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2"
"96","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1"
"97","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1"
"98","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2"
"99","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2"
"100","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2"
