"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"54","1","1","1","1","2","2","2","1","2","1","1","2","1","2","2","2","1","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","1","2","1","1","1","2","2","2","1","2","1","1","2","2","2","1","1","2","2","2","1","1","2","1","2","2","2","2","1","1","2","1","2","1","1","2","2","2","1","2","2","2","2","1","1","2","2","2","2","1","1","2","2","2","2","1","2","2","2","2","1","1","1","1","1","2","2"
"55","2","2","2","1","2","1","1","2","2","2","2","1","1","2","1","2","2","2","1","2","1","2","1","1","2","1","1","2","1","2","1","1","2","1","1","1","2","1","2","1","1","2","1","2","1","1","1","2","1","1","2","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","2","1","2","2","2","2","2","2","1","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","1","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","2","2","1","1","1","2","1","2","1","2","1","2","1","2","1"
"56","2","2","1","2","2","2","2","2","2","1","2","2","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","2","2","2","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","1","1","1","1","2","1","2","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","1","1","1","2","1","2","2","2","2","2","1","1","1","2","2","2","2","2","1","2","1","1","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","2","2","2","1","2","2","2","1","2","1","1","1"
"57","2","1","1","2","2","1","1","2","2","1","2","1","1","1","2","1","1","1","2","1","2","2","1","1","2","2","2","1","2","1","1","1","1","2","2","1","1","2","1","2","2","2","1","2","2","2","1","2","1","1","2","2","1","1","2","2","1","2","2","1","2","1","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","1","1","1","1","2","2","2","2","1","1","1","2","1","2","2","2","2","1","1","1","1","2","2","2","2","1","2","1","1","1","2","2","1","2","2","2","1","2","1","1","2","2","1","2","1"
"58","1","2","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","1","1","1","2","2","1","2","1","1","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","2","1","2","1","2","2","2","1","2","1","2","1","2","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","2","1","2","1","2","1","1","1","2","1","2","1","1","2","2","2","2","1","2","1","1","2","1","1","1","2","1","2","2","1","2","1","1","2","2","2","2","2","2","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2"
"59","2","1","2","2","1","1","1","1","2","1","1","2","1","1","2","1","2","1","2","2","2","1","1","1","2","1","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","1","1","2","2","2","1","2","1","1","1","1","1","2","1","2","1","1","1","1","2","2","1","2","1","2","2","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","1","2","2","1","2","2","2","2","1","1","2","1","1","1","2","2","2","2","1","2","1","2","2","2","2","2","1","2","1","1","1","2","2","1","1","2","2","1","2","1","1"
"60","1","2","2","2","2","1","1","2","1","2","2","1","2","2","2","1","1","1","2","2","1","1","1","2","1","1","2","2","1","2","1","2","2","1","2","1","1","2","1","1","1","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","1","2","2","1","2","1"
"61","1","1","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","2","2","2","2","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","2","2","2","1","1","2","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","2","2","1","1","2","1","2","2","1","2","2","1","1","1","2","1","2","2","2","2","2"
"62","2","2","2","2","2","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","2","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","2","2","2","1","2","2","1","2","1","2","1","2","1","2","1","1","2","1","1","2","1","1","1","1","1","1","2","1","1","1","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","2","1","1","2","1","2","2","1","1","1","1","2","2","1","2","1","2","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2"
"63","2","1","1","1","1","2","2","1","1","1","2","1","1","2","1","1","2","1","2","1","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","2","1","2","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","1","2","1","1","2","2","1","2","2","2","1","2","1","1","2","2","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","2","1","2","1","1","1","1","2","2","1","2","1","1","2","2","2","1","1","1","1","1","1","1","2","1","1"
"64","1","1","2","2","2","2","2","1","2","2","1","1","2","2","2","2","2","2","2","1","1","2","2","1","2","2","2","1","2","1","2","1","1","1","2","1","1","2","2","1","1","1","1","1","1","1","2","2","1","1","2","1","1","1","1","1","2","2","2","2","1","2","1","2","1","2","2","2","2","2","1","2","1","2","2","1","2","1","2","2","1","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","1","2","1","2","1","1","2","1","2","1","1","2","1","2","1","1","1","1","1","2","1","2","1","1","2"
"65","2","1","1","2","2","2","2","1","1","2","2","2","2","1","2","1","1","2","2","1","2","1","1","1","2","1","1","1","2","1","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","1","1","2","2","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","2","1","1","2","2","1","2","2","2","1","1","2","2","1","1","1","1","2","1","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","2","2"
"66","2","1","2","2","1","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","2","1","1","1","2","1","1","2","1","1","1","2","1","1","1","1","2","1","2","1","1","1","2","1","1","1","2","1","1","2","1","2","2","2","2","1","2","2","1","1","2","1","2","2","1","2","2","2","1","2","2","2","1","2","1","2","2","2","2","1","2","2","2","1","1","1","2","1","2","2","1","1","1","1","2","2","1","2","1","1","2","1","1","1","2","2","2","1","1","2","2","2","1","2","2"
"67","2","1","1","1","2","1","2","2","2","2","1","2","1","1","1","2","1","2","2","2","1","1","1","2","1","1","1","2","2","2","2","1","1","2","1","2","1","1","2","2","1","1","2","1","2","1","1","2","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","1","2","2","1","2","1","2","1","2","1","1","2","1","1","1","2","2","2","2","2","1","1","1","2","1","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","1","1","2","1","1","2","2","2","2","2","1","1","2","1"
"68","1","1","2","1","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","1","2","2","2","2","2","2","1","2","1","2","2","1","2","1","2","1","2","2","2","2","2","1","2","1","1","2","2","2","1","1","1","1","2","1","2","2","1","1","1","1","1","2","1","1","2","2","1","1","1","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","1","1","2","1","2","1","1","1","1","1","2","1","2","1","2","1","2","2","2","2","2","1","1","2","1","2","2","2","2","1","1","1","2"
"69","1","2","1","1","1","1","1","2","1","1","1","1","1","1","2","2","2","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","1","2","1","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","1","2","2","1","1","2","1","2","1","1","2","2","2","2","1","2","1","1","2","2","2","1","1","2","2","2","1","1","2","1","2","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","2","2","1","1","2","2","2","2","1","1","2","2","2","2","1","2"
"70","2","2","1","1","2","2","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","2","1","1","2","1","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","2","1","1","1","1","2","2","1","1","2","2","2","2","1","2","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","1","2","2","1","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","2","2","2","1","2"
"71","2","1","2","2","1","2","1","1","2","1","2","1","2","2","1","1","2","1","1","1","2","1","1","2","2","1","2","1","2","1","1","2","2","1","1","2","2","1","1","1","2","1","1","1","1","2","2","2","2","1","2","2","2","2","1","1","1","1","2","1","1","1","2","1","1","1","1","2","1","2","1","2","2","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","2","2","1","1","1","1","1","2","2","1","1","2","1","1","2","2"
"72","2","1","2","2","2","1","2","2","2","2","2","1","2","1","1","1","1","2","1","1","2","1","1","2","2","2","1","1","2","2","1","1","1","1","2","1","1","1","2","1","2","1","1","2","2","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","1","1","2","1","1","2","1","1","1","2","2","1","2","1","1","1","1","1","2","2","2","2","1","2","1","1","2","2","1","2","2","2","2","1","1","2","2","2","1","2","2","1","2","1","1","1","2","1","1","2","2","1","2","1","1","1","1","2","2","2","2","2","1"
"73","1","2","2","2","2","1","2","1","2","2","2","1","1","2","2","2","1","2","2","1","2","2","2","2","2","1","1","1","2","2","1","2","1","1","1","1","1","2","1","2","1","1","1","2","2","2","2","1","2","1","1","1","1","2","2","2","1","2","2","1","1","2","2","1","1","2","2","2","1","1","1","1","1","2","1","1","2","1","1","1","2","2","1","1","1","2","1","2","1","1","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","2","2","2"
"74","1","1","1","2","1","2","1","2","1","2","2","1","1","2","2","2","1","2","1","2","2","2","2","1","2","1","1","2","2","2","2","1","2","1","1","1","2","2","1","1","2","1","2","1","2","1","2","2","2","2","1","1","1","2","2","1","2","1","1","1","1","1","2","2","1","1","2","1","1","1","2","1","1","1","2","1","1","2","2","1","2","2","2","2","1","2","1","2","2","2","2","2","1","2","1","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","1","2","1","1","1","1","1","2","1","2","1","1","1"
"75","1","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","1","2","1","2","2","1","2","2","2","2","1","2","2","2","1","2","1","1","2","1","2","1","2","2","1","1","2","2","2","1","2","1","1","2","1","1","1","1","2","2","1","1","1","2","1","1","2","2","1","1","2","1","1","1","2","1","1","2","2","2","2","2","2","2","1","1","2","1","1","2","1","2","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","2","1","2","2","1","1","2"
"76","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","1","2","1","2","2","1","2","1","2","1","2","1","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","2","2","2","1","2","1","2","2","2","1","1","1","1","2","1","1","1","2","2","1","1","2","1","1","2","2","2","1","2","2","2","2","1","1","1","2","1","2","1","1","1","2","1","1","2","2","2","2","2","1","2","2","2","2","2","1","2","1","2","1","2","1","2","1","1","2","1","2","1","1","1","1","1","1","2","1","1","2","1","1","2"
"77","2","2","1","1","1","2","2","2","2","1","2","1","1","2","2","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","1","1","1","1","1","2","1","2","1","2","2","2","1","1","2","1","1","2","2","2","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","1","1","2","2","1","2","2","2","1","2","2","2","1","1","1","2","1","2","1","1","2","2","1","2","1","2","1","2","2","2","2","2","1","2","2","1","2","1","1","2","1","1","1","1","1","1","2","2","1","2","2","1","1","1","2","1"
"78","2","2","2","2","2","1","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1","1","2","1","1","2","1","2","1","2","1","1","2","2","2","1","2","2","2","1","2","2","2","2","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","2","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","1","1","2","2","2","2","1","1","1","1","1","2","1","2","1","2","1","2","2","1","2","2","1","1","2","1","1","1","2"
"79","1","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","2","1","2","2","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1","2","1","2","2","1","2","1","1","1","1","1","1","2","1","2","2","1","2","2","2","2","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","2","1","1","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","2","2","2","2","2","1","1","2","1","2","2","1"
"80","1","2","1","1","1","2","1","1","1","2","1","2","2","1","1","2","1","2","2","2","2","1","1","2","2","2","2","1","1","2","2","2","2","2","1","1","2","2","1","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","2","2","2","2","1","2","1","2","1","2","2","1","1","2","1","2","2","2","1","2","2","2","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","2","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","2","1","2","1","1","1","1","2","2","1","1","2","2"
"81","1","2","1","1","2","2","2","2","1","2","2","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","2","1","1","2","1","2","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","1","2","1","1","1","2","1","1","1","2","2","1","2","1","1","2","1","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","2","1","1","1","2","2","1","2","1","2","1","1","2","2","2","1","2","2","2","1","2","2","1","1","1","2","2"
"82","2","2","1","1","2","1","1","2","2","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2","2","1","1","2","2","1","2","1","2","2","2","1","2","1","2","2","1","2","2","2","2","1","1","2","2","1","2","2","1","2","1","2","2","2","1","1","2","1","2","1","2","1","1","2","1","1","2","2","1","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","2","2","1","1","1","1","1","1","2","2","1","1","1","2","1","1","1","1","1","1","1","1","2","2","1","2","2","1","1","2","2","1","1","2","2"
"83","1","2","1","2","1","1","2","1","2","1","1","2","2","2","2","2","1","1","2","1","1","1","2","1","1","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","2","1","2","2","1","2","1","2","2","2","1","1","1","2","2","2","1","2","1","2","2","2","2","1","2","1","1","1","1","2","1","2","2","1","2","2","2","1","1","1","2","1","1","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","1","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","1","2","2","2","2","2","1","2","1"
"84","2","2","2","2","1","1","1","2","2","2","1","2","1","1","1","1","2","2","1","2","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","2","2","2","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","1","1","2","1","2","1","1","1","1","2","1","1","2","2","2","1","1","1","2","2","1","1","2","2","2","2","1","2","1","2","2","2","2","2","1","2","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","1","1","2","2","1","2","2","1","2","2","1","1","2","1","2","1","1","2","2"
"85","1","1","1","2","1","1","1","2","2","2","1","1","2","2","1","2","2","1","2","1","2","2","1","1","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","1","2","1","2","1","1","2","1","1","1","1","2","2","1","1","1","2","1","2","1","1","2","2","2","1","2","2","2","2","2","1","1","2","1","1","2","2","1","1","2","1","2","1","1","2","1","1","2","2","1","2","1","1","2","1","2","2","1","2","2","1","2","1","2","2","2","1","1","2","2","2","2","1","2","2","1","2","1","2","1","2"
"86","2","1","2","2","1","2","1","2","1","1","2","2","1","1","1","2","1","2","2","1","2","2","2","2","1","1","1","2","1","1","2","1","1","1","1","2","1","1","2","1","2","2","2","1","1","2","2","1","2","1","2","1","1","2","1","2","2","2","1","2","2","2","1","1","2","1","1","2","2","2","2","2","2","2","1","1","2","1","1","1","2","1","1","2","2","1","1","2","1","1","1","2","2","2","1","1","2","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","1","1","2","2","2","1"
"87","1","1","2","1","2","1","1","1","1","2","1","1","2","1","1","1","2","1","2","2","1","2","1","1","1","2","1","1","2","1","1","1","2","2","1","2","2","1","1","1","2","1","2","1","2","2","2","1","1","2","2","1","1","2","2","2","1","2","1","2","1","2","1","1","2","1","2","1","1","2","2","1","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","1","2","1","2","1","1","2","2","1","2","2","1","1","2","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","1","2","2","1","2"
"88","2","1","1","1","1","1","1","2","2","1","1","1","1","2","1","1","1","2","2","1","1","1","2","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","2","1","2","2","1","1","1","2","1","2","2","2","2","1","2","2","2","2","1","1","1","1","1","2","2","2","1","1","2","2","2","1","2","2","2","2","1","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","1","2","1","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","2"
"89","1","2","2","2","1","1","2","1","2","1","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","2","1","2","1","1","2","2","2","1","1","2","2","2","1","1","2","1","2","1","2","2","2","2","2","2","1","2","1","2","1","1","2","2","2","1","1","1","2","1","1","1","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","1","2","2","2","1","1","2","1","1","2","2","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","1","2"
"90","1","1","1","1","1","1","1","2","1","1","1","1","2","1","2","2","2","2","2","2","2","1","2","1","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","2","2","1","1","1","2","2","1","1","2","1","1","2","2","1","1","1","2","2","2","2","1","1","2","1","1","2","1","1","1","1","1","2","2","2","1","2","2","2","1","2","1","2","2","2","1","2","2","2","1","1","1","1","2","1","2","2","1","2","1","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","1"
"91","2","2","1","2","1","1","2","1","2","2","1","1","1","1","1","1","2","1","1","1","2","1","2","2","2","1","1","2","2","1","2","2","2","1","2","1","2","1","2","1","2","1","2","1","2","2","2","1","2","1","2","2","1","1","1","1","2","1","2","2","1","1","1","2","1","1","2","1","2","2","2","2","1","1","2","1","2","1","1","1","2","1","2","1","2","1","2","1","2","1","2","1","1","2","2","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","2","2","2","1","1","2","1","2","2","1","2","1"
"92","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"93","2","2","2","1","1","2","2","1","1","1","2","1","2","1","2","1","1","1","1","2","1","2","1","2","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","1","2","1","1","1","1","2","2","1","2","2","1","1","2","2","2","2","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","1","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","1","2","1","1","2","1","2","2","1","1","1","2","2","2","1","1"
"94","1","2","2","1","1","2","2","1","1","1","2","2","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","2","2","1","1","1","1","2","2","2","2","1","1","1","2","1","2","2","2","1","2","1","2","1","1","1","2","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","1","1","2","1","2","1","2","1","1","2","1","2","1","1","2","1","1","2","2","1","2","1","1","1","1","1","2","1","2","2","1","1","2","1"
"95","2","2","2","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","2","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1","1","2","2","1","2","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","2","2","2","1","2","1","1","2","2","1","1","2","1","2","2","2","2","1","1","1","1","1","2","1","2","1","1","1","1","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","1"
"96","1","2","1","2","2","2","1","2","2","1","1","2","2","2","2","2","2","2","1","1","2","2","1","2","2","2","2","2","1","1","2","1","2","2","2","2","1","1","1","1","1","2","1","1","2","2","1","1","1","1","1","1","1","2","2","1","1","2","1","1","1","2","2","1","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","2","2","1","2","1","2","2","2","2","2","1","2","1","2","2","1","1","2","1","2","1","1","1","1","1","2","1","2","1","1","2","1","2","1","1","2","1","2","1","1","2","2","2","1"
"97","2","1","2","1","2","2","2","2","2","2","1","2","2","1","2","2","2","2","1","1","1","2","1","1","2","1","2","1","1","2","1","2","2","1","2","2","1","1","1","1","2","2","2","1","1","1","1","1","1","1","2","2","1","1","2","2","2","1","2","2","2","2","2","1","2","2","2","1","1","1","1","2","1","1","2","1","1","1","1","1","1","2","1","2","1","2","1","2","2","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","1","1","1","2","2","2","2","1","1","2","1","1","2","1","1","1","2","1","1"
"98","1","2","2","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","2","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","2","2","1","2","1","2","1","1","1","2","1","2","1","2","2","2","1","2","1","1","1","2","2","2","2","1","1","2","2","1","1","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","2","2","1","2","1","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1","2","1","1","2","1","2"
"99","2","2","1","1","1","2","2","2","2","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","2","2","1","1","1","1","2","2","1","2","2","2","1","1","1","1","2","1","2","2","2","2","1","1","1","2","1","2","1","1","1","1","1","2","2","1","1","1","1","2","1","2","1","1","1","2","2","1","1","1","2","1","1","2","1","1","1","1","1","2","2","2","1","1","2","1","2","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","1","2","2","2","2","1","1","1","2","1","1","2","2","2"
"100","1","1","2","2","1","1","2","2","1","1","2","1","2","1","1","1","1","2","1","2","1","2","2","1","2","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","1","1","2","2","1","1","2","2","2","1","2","2","2","2","2","2","2","1","2","1","1","2","1","2","1","2","1","1","2","1","2","1","2","2","2","2","1","2","1","2","2","1","1","2","2","1","1","2","2","2","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","2","2","1","1","2","2","2","1","2","2","2","2","1","1","1","2","2","2"
"101","1","2","1","1","2","1","1","2","2","1","2","1","2","2","1","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","1","1","1","1","2","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","1","1","1","2","2","2","1","1","2","2","1","2","1","1","2","1","2","2","2","2","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","2","2","2","1","1","2","2","2","2","1","1","2","1","2","1","1","2","2","1","2","2","1","2","2","1","1","1","1","2","2","2","1","1","1","2","1","2"
"102","2","1","2","1","1","2","1","1","2","1","2","1","2","2","2","1","2","1","1","2","2","2","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","2","2","1","2","1","1","2","1","1","1","2","1","2","1","1","2","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","1","1","2","1","2","2","2","1","1","2","1","2","2","2","2","2","2","1","2","1","1","2","2","1","1","2","1","2","1","2","1","2","1","2","1","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","1","2","2","1"
"103","1","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","1","1","2","2","2","2","1","2","2","2","1","1","2","2","1","2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","2","2","1","1","1","2","1","1","1","1","2","2","1","1","2","2","1","1","1","2","1","2","2","1","1","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","2","1","1","1","2","1","1","2","1","1","2","2","1","1","2","1","2","2","2","1","2","1","2","2","2","1","1","1","2","2","1","1","1","2","1","1","1"
"104","2","2","1","1","2","2","2","1","2","2","2","2","1","1","2","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","1","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","2","1","1","2","2","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","1","1","1","1","1","1","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","2","2","2","1","2","1","1","2","2","1","1","2"
"105","1","2","1","2","2","2","1","1","2","2","1","2","1","1","1","2","1","1","1","2","1","2","2","1","1","2","2","1","1","2","1","2","1","2","2","1","2","2","1","1","2","2","1","1","2","1","2","2","2","1","2","2","2","1","2","1","1","2","2","1","1","1","2","1","2","1","1","1","2","2","2","2","1","1","1","1","2","1","2","2","2","1","1","2","1","1","1","2","1","2","2","1","2","1","2","1","2","2","1","1","2","1","2","2","2","1","2","2","1","1","1","2","1","2","2","2","2","1","1","1","1","2","2"
"106","2","1","1","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","2","1","1","2","1","1","1","1","2","2","1","2","2","2","1","1","1","1","2","1","2","1","1","1","1","1","2","1","2","2","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","2","2","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","1","2","1","2","2","1","2","1","2","1","1","2","1","2","2","1","1","2","2","1","1","1","2","1","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1"
"107","2","2","1","2","1","1","2","2","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","2","1","2","2","1","2","2","2","2","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1","1","2","2","1","2","1","1","1","1","2","2","2","2","1","2","1","1","1","1","2","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","2","1","1","1","1","2","1","2","1","2","1","1","2","1","2","1","1","2","2","2","2","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","2","1","2"
